iter	Passed	Remaining
0	132	132321
1	133	66543
2	134	44539
3	134	33514
4	135	26919
5	135	22519
6	136	19369
7	137	17019
8	138	15210
9	138	13760
10	139	12558
11	140	11550
12	141	10710
13	141	9983
14	142	9351
15	143	8797
16	143	8308
17	144	7872
18	145	7487
19	145	7140
20	146	6826
21	147	6535
22	147	6272
23	148	6031
24	149	5814
25	149	5607
26	150	5417
27	150	5241
28	151	5076
29	152	4924
30	152	4780
31	153	4647
32	154	4520
33	154	4401
34	155	4288
35	156	4181
36	156	4080
37	157	3989
38	158	3897
39	158	3813
40	159	3729
41	159	3648
42	160	3573
43	161	3500
44	161	3429
45	162	3363
46	162	3299
47	163	3237
48	163	3178
49	164	3121
50	164	3066
51	165	3014
52	165	2962
53	166	2913
54	166	2866
55	167	2821
56	167	2778
57	168	2736
58	169	2695
59	169	2656
60	170	2617
61	170	2580
62	171	2544
63	171	2509
64	172	2476
65	172	2443
66	173	2417
67	174	2385
68	174	2355
69	175	2325
70	175	2297
71	176	2269
72	176	2242
73	177	2215
74	177	2188
75	177	2163
76	178	2137
77	178	2113
78	179	2089
79	179	2066
80	180	2043
81	180	2022
82	180	1998
83	181	1977
84	181	1957
85	182	1938
86	182	1919
87	183	1901
88	184	1884
89	184	1866
90	185	1849
91	185	1833
92	186	1816
93	186	1799
94	187	1784
95	187	1770
96	188	1756
97	189	1741
98	189	1727
99	190	1714
100	191	1702
101	191	1688
102	192	1675
103	192	1662
104	193	1650
105	194	1637
106	194	1625
107	195	1613
108	195	1600
109	196	1588
110	196	1576
111	197	1565
112	198	1554
113	198	1543
114	199	1532
115	199	1521
116	199	1509
117	200	1498
118	200	1487
119	201	1477
120	202	1467
121	202	1456
122	202	1446
123	203	1436
124	203	1426
125	204	1417
126	204	1407
127	205	1398
128	205	1389
129	206	1380
130	206	1371
131	207	1362
132	207	1353
133	208	1344
134	208	1336
135	209	1327
136	209	1319
137	209	1311
138	210	1302
139	210	1294
140	211	1286
141	211	1278
142	211	1270
143	212	1262
144	212	1255
145	213	1248
146	213	1241
147	214	1233
148	214	1226
149	215	1219
150	215	1213
151	216	1206
152	216	1200
153	217	1193
154	217	1187
155	218	1181
156	218	1175
157	219	1169
158	220	1164
159	220	1158
160	221	1152
161	221	1146
162	222	1140
163	222	1135
164	223	1129
165	223	1123
166	224	1117
167	224	1111
168	224	1105
169	225	1100
170	225	1095
171	226	1089
172	226	1084
173	227	1078
174	227	1073
175	228	1068
176	228	1063
177	229	1058
178	229	1053
179	230	1048
180	230	1043
181	231	1038
182	231	1033
183	231	1028
184	232	1023
185	232	1019
186	233	1014
187	233	1009
188	234	1004
189	234	1000
190	235	996
191	235	991
192	236	987
193	236	982
194	236	978
195	237	973
196	237	969
197	238	965
198	238	961
199	239	956
200	239	952
201	240	948
202	240	944
203	241	940
204	241	936
205	242	932
206	242	928
207	243	925
208	243	921
209	243	917
210	244	913
211	244	910
212	245	906
213	245	902
214	246	898
215	246	894
216	247	891
217	247	887
218	247	883
219	248	880
220	248	876
221	249	873
222	249	870
223	250	867
224	250	863
225	251	860
226	251	857
227	252	853
228	252	850
229	252	846
230	253	843
231	253	840
232	254	837
233	254	833
234	255	830
235	255	827
236	256	824
237	256	821
238	256	818
239	257	815
240	257	812
241	258	809
242	258	806
243	259	803
244	259	800
245	260	797
246	260	794
247	261	791
248	261	788
249	261	785
250	262	783
251	262	780
252	263	777
253	263	774
254	264	771
255	264	769
256	265	766
257	265	764
258	266	761
259	266	758
260	267	756
261	267	753
262	268	751
263	268	749
264	269	746
265	269	744
266	270	741
267	270	739
268	271	736
269	271	734
270	271	731
271	272	729
272	272	726
273	273	724
274	273	721
275	274	719
276	274	717
277	275	714
278	275	712
279	276	709
280	276	707
281	277	705
282	277	703
283	277	700
284	278	698
285	278	696
286	279	693
287	279	691
288	280	689
289	280	687
290	281	685
291	281	682
292	282	680
293	282	678
294	283	676
295	283	674
296	283	672
297	284	670
298	284	667
299	285	665
300	285	663
301	286	661
302	286	659
303	287	657
304	287	656
305	288	654
306	289	652
307	289	650
308	289	648
309	290	646
310	290	644
311	291	642
312	291	640
313	292	638
314	292	636
315	293	634
316	293	632
317	293	630
318	294	628
319	294	626
320	295	624
321	295	622
322	296	621
323	296	619
324	297	617
325	297	615
326	298	613
327	298	611
328	299	609
329	299	607
330	299	606
331	300	604
332	300	602
333	301	600
334	301	598
335	302	597
336	302	595
337	303	593
338	303	591
339	304	590
340	304	588
341	305	587
342	305	585
343	306	584
344	306	582
345	307	581
346	308	579
347	308	578
348	309	576
349	309	574
350	309	573
351	310	571
352	311	570
353	311	568
354	312	567
355	312	565
356	313	564
357	313	563
358	314	561
359	315	560
360	315	558
361	316	557
362	316	555
363	317	554
364	317	552
365	318	551
366	319	550
367	319	548
368	320	547
369	320	546
370	321	544
371	321	543
372	322	541
373	322	540
374	323	539
375	324	537
376	324	536
377	325	534
378	325	533
379	326	532
380	326	530
381	327	529
382	327	528
383	328	526
384	328	525
385	329	524
386	330	522
387	330	521
388	331	520
389	331	518
390	332	517
391	332	516
392	333	514
393	333	513
394	334	512
395	334	510
396	335	509
397	335	507
398	336	506
399	336	505
400	337	504
401	338	502
402	338	501
403	339	500
404	339	498
405	340	497
406	340	496
407	341	494
408	341	493
409	342	492
410	342	491
411	343	489
412	343	488
413	344	487
414	344	486
415	345	484
416	346	483
417	346	482
418	347	481
419	347	480
420	348	478
421	348	477
422	349	476
423	349	475
424	350	474
425	350	472
426	351	471
427	352	470
428	352	469
429	353	468
430	353	466
431	354	465
432	354	464
433	355	463
434	355	462
435	356	461
436	357	460
437	357	458
438	358	457
439	358	456
440	359	455
441	359	454
442	360	453
443	360	451
444	361	450
445	361	449
446	362	448
447	363	447
448	363	446
449	364	444
450	364	443
451	365	442
452	365	441
453	366	440
454	366	439
455	367	438
456	367	437
457	368	436
458	369	434
459	369	433
460	370	432
461	370	431
462	371	430
463	371	429
464	372	428
465	372	427
466	373	426
467	374	425
468	374	424
469	375	423
470	375	421
471	376	421
472	376	419
473	377	418
474	377	417
475	378	416
476	379	415
477	379	414
478	380	413
479	380	412
480	381	411
481	381	410
482	382	409
483	382	408
484	383	407
485	384	406
486	384	405
487	385	404
488	385	403
489	386	401
490	386	400
491	387	399
492	387	398
493	388	397
494	388	396
495	389	395
496	389	394
497	390	393
498	390	392
499	391	391
500	392	390
501	392	389
502	393	388
503	393	387
504	394	386
505	395	385
506	395	384
507	396	383
508	396	382
509	397	381
510	397	380
511	398	379
512	398	378
513	399	377
514	400	376
515	400	375
516	401	374
517	401	373
518	402	372
519	402	371
520	403	370
521	403	369
522	404	368
523	404	367
524	405	366
525	406	365
526	406	365
527	407	363
528	407	362
529	408	362
530	408	361
531	409	360
532	410	359
533	410	358
534	411	357
535	411	356
536	412	355
537	412	354
538	413	353
539	413	352
540	414	351
541	414	350
542	415	349
543	415	348
544	416	347
545	416	346
546	417	345
547	417	344
548	418	343
549	419	342
550	419	341
551	420	340
552	420	339
553	421	339
554	421	338
555	422	337
556	422	336
557	423	335
558	423	334
559	424	333
560	424	332
561	425	331
562	425	330
563	426	329
564	426	328
565	427	327
566	427	326
567	428	325
568	428	324
569	429	323
570	429	323
571	430	322
572	431	321
573	431	320
574	432	319
575	432	318
576	433	317
577	433	316
578	434	315
579	434	314
580	435	314
581	435	313
582	436	312
583	437	311
584	437	310
585	438	309
586	438	308
587	439	307
588	439	306
589	440	305
590	440	305
591	441	304
592	441	303
593	442	302
594	442	301
595	443	300
596	444	299
597	444	298
598	445	297
599	445	297
600	446	296
601	446	295
602	447	294
603	447	293
604	448	292
605	448	291
606	449	291
607	450	290
608	450	289
609	451	288
610	451	287
611	452	286
612	452	285
613	453	285
614	453	284
615	454	283
616	455	282
617	455	281
618	456	280
619	456	279
620	457	279
621	457	278
622	458	277
623	458	276
624	459	275
625	459	274
626	460	273
627	460	273
628	461	272
629	461	271
630	462	270
631	463	269
632	463	268
633	464	267
634	464	267
635	465	266
636	465	265
637	466	264
638	466	263
639	467	262
640	467	262
641	468	261
642	468	260
643	469	259
644	470	258
645	470	257
646	471	257
647	471	256
648	472	255
649	472	254
650	473	253
651	473	252
652	474	252
653	474	251
654	475	250
655	476	249
656	476	248
657	477	248
658	477	247
659	478	246
660	478	245
661	479	244
662	480	243
663	480	243
664	481	242
665	481	241
666	482	240
667	482	239
668	483	239
669	483	238
670	484	237
671	484	236
672	485	235
673	485	235
674	486	234
675	486	233
676	487	232
677	487	231
678	488	230
679	488	230
680	489	229
681	490	228
682	490	227
683	491	226
684	491	226
685	492	225
686	492	224
687	493	223
688	493	222
689	494	222
690	495	221
691	495	220
692	496	219
693	496	219
694	497	218
695	497	217
696	498	216
697	499	215
698	499	215
699	500	214
700	500	213
701	501	212
702	502	212
703	502	211
704	503	210
705	503	209
706	504	208
707	504	208
708	505	207
709	505	206
710	506	205
711	507	205
712	507	204
713	507	203
714	508	202
715	508	201
716	509	201
717	509	200
718	510	199
719	511	198
720	511	197
721	512	197
722	512	196
723	513	195
724	513	194
725	514	194
726	514	193
727	515	192
728	515	191
729	516	191
730	516	190
731	517	189
732	517	188
733	518	187
734	518	187
735	519	186
736	519	185
737	520	184
738	520	183
739	521	183
740	521	182
741	522	181
742	523	180
743	523	180
744	524	179
745	524	178
746	525	177
747	525	177
748	526	176
749	527	175
750	527	174
751	528	174
752	528	173
753	529	172
754	529	171
755	530	171
756	530	170
757	531	169
758	531	168
759	532	168
760	533	167
761	533	166
762	534	165
763	534	165
764	535	164
765	535	163
766	536	162
767	536	162
768	537	161
769	537	160
770	538	159
771	538	159
772	539	158
773	539	157
774	540	156
775	540	156
776	541	155
777	541	154
778	542	153
779	543	153
780	543	152
781	544	151
782	544	150
783	545	150
784	545	149
785	545	148
786	546	147
787	546	147
788	547	146
789	547	145
790	548	144
791	548	144
792	549	143
793	549	142
794	550	141
795	550	141
796	551	140
797	551	139
798	552	138
799	552	138
800	553	137
801	553	136
802	554	135
803	554	135
804	555	134
805	555	133
806	556	133
807	557	132
808	557	131
809	558	130
810	558	130
811	559	129
812	559	128
813	560	127
814	560	127
815	561	126
816	561	125
817	562	125
818	562	124
819	563	123
820	563	122
821	564	122
822	564	121
823	565	120
824	566	120
825	566	119
826	567	118
827	567	117
828	568	117
829	568	116
830	569	115
831	570	115
832	570	114
833	571	113
834	571	112
835	572	112
836	573	111
837	573	110
838	574	110
839	574	109
840	575	108
841	575	108
842	576	107
843	576	106
844	577	105
845	578	105
846	578	104
847	579	103
848	579	103
849	580	102
850	580	101
851	581	100
852	581	100
853	582	99
854	582	98
855	583	98
856	583	97
857	584	96
858	585	96
859	585	95
860	586	94
861	586	93
862	587	93
863	587	92
864	588	91
865	589	91
866	589	90
867	590	89
868	590	89
869	591	88
870	591	87
871	592	86
872	592	86
873	593	85
874	593	84
875	594	84
876	594	83
877	595	82
878	596	82
879	596	81
880	597	80
881	597	79
882	598	79
883	598	78
884	599	77
885	599	77
886	600	76
887	600	75
888	601	75
889	602	74
890	602	73
891	603	73
892	603	72
893	604	71
894	604	70
895	605	70
896	605	69
897	606	68
898	606	68
899	607	67
900	608	66
901	608	66
902	609	65
903	609	64
904	610	64
905	610	63
906	611	62
907	611	62
908	612	61
909	613	60
910	613	59
911	614	59
912	614	58
913	615	57
914	615	57
915	616	56
916	616	55
917	617	55
918	618	54
919	618	53
920	619	53
921	619	52
922	620	51
923	621	51
924	621	50
925	622	49
926	622	49
927	623	48
928	623	47
929	624	46
930	624	46
931	625	45
932	625	44
933	626	44
934	626	43
935	627	42
936	627	42
937	628	41
938	628	40
939	629	40
940	629	39
941	630	38
942	630	38
943	631	37
944	631	36
945	632	36
946	633	35
947	633	34
948	634	34
949	634	33
950	635	32
951	635	32
952	636	31
953	636	30
954	637	30
955	638	29
956	638	28
957	639	28
958	639	27
959	640	26
960	640	26
961	641	25
962	642	24
963	642	24
964	643	23
965	643	22
966	644	22
967	645	21
968	645	20
969	646	19
970	647	19
971	647	18
972	648	17
973	648	17
974	649	16
975	650	15
976	650	15
977	651	14
978	651	13
979	652	13
980	652	12
981	653	11
982	653	11
983	654	10
984	654	9
985	655	9
986	655	8
987	656	7
988	656	7
989	657	6
990	657	5
991	658	5
992	658	4
993	659	3
994	659	3
995	660	2
996	660	1
997	661	1
998	662	0
999	662	0
